"Add to Cart","Add to Cart"
"Automatic Related Products by aheadWorks","Automatic Related Products by aheadWorks"
"Block position","Block position"
"Block title","Block title"
"Block layout","Block layout"
"Bestsellers","Bestsellers"
"Clicks","Clicks"
"CTR","CTR"
"Create New Rule","Create New Rule"
"Customer Groups","Customer Groups"
"Choose products the related items will be displayed for. Conditions and condition combinations allow you to narrow selection down to a specific range of products","Choose products the related items will be displayed for. Conditions and condition combinations allow you to narrow selection down to a specific range of products"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Conditions and condition combinations allow you to narrow selection down to a specific range of products","Conditions and condition combinations allow you to narrow selection down to a specific range of products"
"Current Product %1","Current Product %1"
"Disabled","Disabled"
"Disable","Disable"
"Display ""Add To Cart"" button","Display ""Add To Cart"" button"
"Edit rule","Edit rule"
"Enabled","Enabled"
"Enable","Enable"
"Error","Error"
"Exact Value","Exact Value"
"equal to","equal to"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"Get Support","Get Support"
"Grid","Grid"
"How to Display","How to Display"
"In stock","In stock"
"less","less"
"Manage Rules","Manage Rules"
"Max products to display","Max products to display"
"more","more"
"Name","Name"
"New rule","New rule"
"Name the block in a way that reflects what kind of products it displays. e.g. Frequently bought together, you might be also interested in, featured products, more in this collection, etc.","Name the block in a way that reflects what kind of products it displays. e.g. Frequently bought together, you might be also interested in, featured products, more in this collection, etc."
"Number of rows","Number of rows"
"Number of columns would be calculated automatically based on outer block width","Number of columns would be calculated automatically based on outer block width"
"No","No"
"Newest","Newest"
"Out of stock","Out of stock"
"Position","Position"
"Priority","Priority"
"Price (percent value)","Price (percent value)"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Product Special","Product Special"
"Product Attributes","Product Attributes"
"Product Price is %1 %2% of Current Product Price","Product Price is %1 %2% of Current Product Price"
"Product page. Instead of native related block","Product page. Instead of native related block"
"Product page. Before native related block","Product page. Before native related block"
"Product page. After native related block","Product page. After native related block"
"Product page. Content top","Product page. Content top"
"Product page. Content bottom","Product page. Content bottom"
"Product page. Sidebar top","Product page. Sidebar top"
"Product page. Sidebar bottom","Product page. Sidebar bottom"
"Price: high to low","Price: high to low"
"Price: low to high","Price: low to high"
"Random","Random"
"Related Product rules","Related Product rules"
"Readme","Readme"
"Rule Information","Rule Information"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule name should be unique","Rule name should be unique"
"Save","Save"
"Saved","Saved"
"Save as new","Save as new"
"Shopping Cart rules","Shopping Cart rules"
"Show ""Out of stock"" products","Show ""Out of stock"" products"
"Some products might fall under several rules. Priority is here to decide which rule will be executed in such case. Rules with higher priority (e.g. 10 is higher than 20) will be executed first.","Some products might fall under several rules. Priority is here to decide which rule will be executed in such case. Rules with higher priority (e.g. 10 is higher than 20) will be executed first."
"Status","Status"
"Store View","Store View"
"Sort products by","Sort products by"
"Something went wrong while saving the rule","Something went wrong while saving the rule"
"Same as Current Product Category","Same as Current Product Category"
"Subcategory of Current Product Category","Subcategory of Current Product Category"
"Shopping cart page. Instead of native cross-sells block","Shopping cart page. Instead of native cross-sells block"
"Shopping cart page. Before native cross-sells block","Shopping cart page. Before native cross-sells block"
"Shopping cart page. After native cross-sells block","Shopping cart page. After native cross-sells block"
"Shopping cart page. Content top","Shopping cart page. Content top"
"Shopping cart page. Content bottom","Shopping cart page. Content bottom"
"Category page. Content top","Category page. Content top"
"Category page. Content bottom","Category page. Content bottom"
"Slider","Slider"
"Type","Type"
"Views","Views"
"Where to Display","Where to Display"
"What to Display","What to Display"
"Yes","Yes"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Override Automatic Related Products","Override Automatic Related Products"
"Category rules","Category rules"
"Create blocks with related products to be displayed at product pages. Displaying directly at product pages allows making highly specified suggestions and ensure a better click-through rate.","Create blocks with related products to be displayed at product pages. Displaying directly at product pages allows making highly specified suggestions and ensure a better click-through rate."
"Create blocks with related products to be displayed at shopping cart. Displaying at shopping cart is an additional window of opportunity to increase order size by promoting complementary items.","Create blocks with related products to be displayed at shopping cart. Displaying at shopping cart is an additional window of opportunity to increase order size by promoting complementary items."
"Create blocks with related products to be displayed at category pages. Displaying at category pages serves to promote entire groups of related products.","Create blocks with related products to be displayed at category pages. Displaying at category pages serves to promote entire groups of related products."
"Rule status was successfully changed","Rule status was successfully changed"
"Something went wrong while editing the rule","Something went wrong while editing the rule"
"Custom position","Custom position"
"Custom position rules","Custom position rules"
"Contents of a Automatic Related Products","Contents of a Automatic Related Products"
"Rule","Rule"
"Select Rule...","Select Rule..."
"ID","ID"
"Create blocks with related products to be displayed in custom positions at any pages using Widgets. Displaying blocks in custom positions allows promoting products to the customers wherever they are at","Create blocks with related products to be displayed in custom positions at any pages using Widgets. Displaying blocks in custom positions allows promoting products to the customers wherever they are at"
"Aheadworks Extensions","Aheadworks Extensions"
"Automatic Related Products","Automatic Related Products"
"General","General"
"Show more than one block in one position","Show more than one block in one position"
"Settings","Settings"
"Segments","Segments"
"Choose products that will be displayed in the ‘related’ block. Block condition(s) and modes let you narrow down the selection to specific products","Choose products that will be displayed in the ‘related’ block. Block condition(s) and modes let you narrow down the selection to specific products"
"Display mode","Display mode"
"Conditions Combination","Conditions Combination"
"Who Bought This Also Bought","Who Bought This Also Bought"
"Aheadworks Related Products Bought Together","Aheadworks Related Products Bought Together"
"Purchased products index","Purchased products index"
"We can't rebuild the index for an undefined entity.","We can't rebuild the index for an undefined entity."
"Bad value was supplied.","Bad value was supplied."
"Enable ""Who Viewed This Also Viewed"" functionality","Enable ""Who Viewed This Also Viewed"" functionality"
"Process sessions for the last X days","Process sessions for the last X days"
"Empty = no limit. Please note that empty or big value can slow your website","Empty = no limit. Please note that empty or big value can slow your website"
"Information","Information"
"Are you sure you want to deactivate ""Who Viewed This Also Viewed"" functionality? This action will disable all the blocks in the WVTAV mode.","Are you sure you want to deactivate ""Who Viewed This Also Viewed"" functionality? This action will disable all the blocks in the WVTAV mode."
"Cancel","Cancel"
"Who Viewed This Also Viewed","Who Viewed This Also Viewed"
"Suggest Products from One Category Only","Suggest Products from One Category Only"
"Suggest Products Only with Price Higher than Price of Current Product","Suggest Products Only with Price Higher than Price of Current Product"
"You need to enable this functionality in the extension <a href=""%1"">settings</a>","You need to enable this functionality in the extension <a href=""%1"">settings</a>"
"Please enable the ""Who Viewed This Also Viewed"" functionality in the <a href=""%1"">settings</a> or choose another mode in the ""What to display"" tab to enable the rule.","Please enable the ""Who Viewed This Also Viewed"" functionality in the <a href=""%1"">settings</a> or choose another mode in the ""What to display"" tab to enable the rule."
"You need to enable ""Who Viewed This Also Viewed"" functionality in the settings first","You need to enable ""Who Viewed This Also Viewed"" functionality in the settings first"
"Views Count","Views Count"
"Orders Count","Orders Count"
"In the ""Who Bought This Also Bought"" display mode products are sorted based on number of times they were purchased together in the same order.","In the ""Who Bought This Also Bought"" display mode products are sorted based on number of times they were purchased together in the same order."
"In the ""Who Viewed This Also Viewed"" display mode products are sorted based on number of times they were viewed together.","In the ""Who Viewed This Also Viewed"" display mode products are sorted based on number of times they were viewed together."
"WBTAB","WBTAB"
"WVTAV","WVTAV"
"This column shows the mode the related products are displayed in:<br>- <b>Conditions</b> - based on specified conditions;<br>- <b>Who Bought This Also Bought</b> (WBTAB) - based on purchase history;<br>- <b>Who Viewed This Also Viewed</b> (WVTAV) - based on views history;","This column shows the mode the related products are displayed in:<br>- <b>Conditions</b> - based on specified conditions;<br>- <b>Who Bought This Also Bought</b> (WBTAB) - based on purchase history;<br>- <b>Who Viewed This Also Viewed</b> (WVTAV) - based on views history;"
"<b>Conditions Combination</b> mode only is available for this rule type","<b>Conditions Combination</b> mode only is available for this rule type"